epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66504,0.9913,2.39961,1.57847,0.83059,0.83929,0.88004,0.71825,0.58515,1.33807,1.31455,0.000650794,0.000650794,0.000650794
2,4.95621,0.82047,1.39122,1.39469,0.91839,0.8038,0.93902,0.85302,0.44735,1.11309,1.25462,0.00129137,0.00129137,0.00129137
3,7.32309,0.7197,1.00221,1.39418,0.93905,0.76786,0.92285,0.83544,0.52962,1.33687,1.40422,0.00190556,0.00190556,0.00190556
4,9.61964,0.75132,0.95555,1.4976,0.96325,0.98214,0.96561,0.83608,0.61023,0.99335,1.25306,0.0018812,0.0018812,0.0018812
5,11.9198,0.76087,0.88214,1.38605,0.93237,1,0.96258,0.8388,0.50229,0.78498,1.28277,0.0018416,0.0018416,0.0018416
6,14.1918,0.73738,0.8163,1.46474,0.94747,1,0.96502,0.85863,0.48801,0.80244,1.2907,0.001802,0.001802,0.001802
7,16.5517,0.80955,0.87293,1.50311,0.96186,1,0.96478,0.86636,0.47541,0.74653,1.30618,0.0017624,0.0017624,0.0017624
8,18.9336,0.65342,0.70707,1.3511,0.96451,1,0.96328,0.8774,0.49417,0.61137,1.24092,0.0017228,0.0017228,0.0017228
9,21.291,0.7445,0.73052,1.37567,0.96485,1,0.975,0.85951,0.52233,0.59356,1.1379,0.0016832,0.0016832,0.0016832
10,23.5945,0.68695,0.74186,1.35706,0.96432,1,0.97672,0.89213,0.47671,0.61254,1.18478,0.0016436,0.0016436,0.0016436
11,25.9585,0.6967,0.6776,1.47793,0.95819,1,0.98012,0.91907,0.48474,0.61238,1.29918,0.001604,0.001604,0.001604
12,28.2848,0.70921,0.67132,1.4482,0.9144,0.96429,0.96213,0.85923,0.55323,0.64608,1.38865,0.0015644,0.0015644,0.0015644
13,30.6125,0.67264,0.6343,1.43139,0.91349,0.98214,0.9538,0.87113,0.50011,0.63727,1.26215,0.0015248,0.0015248,0.0015248
14,32.9011,0.65016,0.59935,1.37216,0.94704,1,0.95953,0.89815,0.44589,0.58968,1.20692,0.0014852,0.0014852,0.0014852
15,35.2773,0.58666,0.57941,1.34585,0.94796,1,0.95774,0.89022,0.411,0.54123,1.11486,0.0014456,0.0014456,0.0014456
16,37.6382,0.64146,0.56977,1.31657,0.96289,1,0.96121,0.89135,0.43631,0.51068,1.09034,0.001406,0.001406,0.001406
17,39.966,0.67358,0.59919,1.34666,0.96442,1,0.96328,0.90946,0.42613,0.49405,1.09091,0.0013664,0.0013664,0.0013664
18,42.2827,0.6484,0.5615,1.34675,0.96545,0.99789,0.9619,0.90263,0.43121,0.46173,1.15632,0.0013268,0.0013268,0.0013268
19,44.585,0.62883,0.59916,1.42355,0.95926,1,0.96638,0.90404,0.40467,0.45563,1.18115,0.0012872,0.0012872,0.0012872
20,46.89,0.62223,0.5414,1.32752,0.96426,1,0.96569,0.89082,0.436,0.44068,1.23265,0.0012476,0.0012476,0.0012476
21,49.1958,0.57441,0.53575,1.26697,0.94906,0.99819,0.97247,0.94456,0.40784,0.44239,1.19311,0.001208,0.001208,0.001208
22,51.5115,0.59404,0.55158,1.30017,0.94817,1,0.98145,0.94069,0.38332,0.45484,1.15409,0.0011684,0.0011684,0.0011684
23,53.8803,0.59781,0.50984,1.29909,0.96483,1,0.98413,0.94,0.39709,0.45486,1.10387,0.0011288,0.0011288,0.0011288
24,56.2649,0.63318,0.53076,1.29263,0.96418,1,0.98089,0.92143,0.442,0.43651,1.56904,0.0010892,0.0010892,0.0010892
25,58.5845,0.55017,0.45811,1.23413,0.9634,1,0.97803,0.93209,0.38939,0.40647,1.73548,0.0010496,0.0010496,0.0010496
26,60.9004,0.63673,0.54469,1.38922,0.96437,1,0.97491,0.9465,0.35186,0.3893,1.75452,0.00101,0.00101,0.00101
27,63.2467,0.6153,0.49875,1.31689,0.96441,1,0.97448,0.95179,0.3532,0.38944,1.56807,0.0009704,0.0009704,0.0009704
28,65.6024,0.57451,0.50637,1.30101,0.96442,1,0.97437,0.95157,0.32772,0.37534,1.05518,0.0009308,0.0009308,0.0009308
29,67.9115,0.57783,0.48885,1.25335,0.96438,1,0.97032,0.94445,0.32883,0.36942,1.06889,0.0008912,0.0008912,0.0008912
30,70.2249,0.53681,0.45803,1.25345,0.96433,1,0.96889,0.94525,0.32282,0.36141,1.06321,0.0008516,0.0008516,0.0008516
31,72.694,0.55556,0.49225,1.31454,0.96421,1,0.96941,0.93044,0.34298,0.37223,1.05946,0.000812,0.000812,0.000812
