epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50672,0.53093,0.45639,1.33396,0.9645,1,0.9719,0.94265,0.31411,0.3361,1.13757,0.0002,0.0002,0.0002
2,4.24165,0.52239,0.45495,1.41001,0.96467,1,0.96678,0.94362,0.29626,0.34512,1.18311,0.000417921,0.000417921,0.000417921
3,6.03953,0.47236,0.42661,1.23587,0.96466,1,0.96879,0.94234,0.30157,0.34261,1.12595,0.000633664,0.000633664,0.000633664
4,7.77969,0.54379,0.43755,1.30774,0.96451,1,0.96569,0.9199,0.35417,0.34993,1.40744,0.000847229,0.000847229,0.000847229
5,9.51404,0.48611,0.41628,1.33542,0.9643,1,0.96983,0.92835,0.35352,0.34285,1.87268,0.00105862,0.00105862,0.00105862
6,11.2801,0.50315,0.43237,1.33475,0.93218,1,0.9691,0.93412,0.37001,0.35604,1.86871,0.00126782,0.00126782,0.00126782
7,13.0842,0.48941,0.43472,1.30977,0.96079,1,0.97586,0.9478,0.3484,0.37777,1.62362,0.00147486,0.00147486,0.00147486
8,14.8891,0.51714,0.43531,1.34341,0.96035,1,0.9753,0.94447,0.34845,0.38455,1.50424,0.00167971,0.00167971,0.00167971
9,16.6778,0.52529,0.41834,1.23795,0.94756,1,0.97378,0.90659,0.38727,0.36495,1.32181,0.00188238,0.00188238,0.00188238
10,18.4124,0.50476,0.42148,1.24073,0.96446,1,0.97293,0.92466,0.34627,0.34887,1.24472,0.0019109,0.0019109,0.0019109
11,20.1157,0.57284,0.46561,1.34367,0.96404,1,0.96656,0.94,0.34673,0.34674,1.21376,0.001901,0.001901,0.001901
12,21.8859,0.52546,0.43241,1.3347,0.96476,1,0.97294,0.95342,0.33067,0.36997,1.18143,0.0018911,0.0018911,0.0018911
13,23.6776,0.52782,0.43729,1.30256,0.96449,1,0.97651,0.94003,0.35757,0.37262,1.28985,0.0018812,0.0018812,0.0018812
14,25.437,0.53091,0.46472,1.33554,0.96421,1,0.97755,0.93006,0.36967,0.37218,1.40889,0.0018713,0.0018713,0.0018713
15,27.2185,0.56883,0.43517,1.36488,0.96549,0.99908,0.97534,0.93783,0.37713,0.37594,1.25962,0.0018614,0.0018614,0.0018614
16,28.9951,0.54412,0.44304,1.36827,0.96547,0.99864,0.97289,0.94114,0.35021,0.37147,1.22657,0.0018515,0.0018515,0.0018515
17,30.7671,0.51682,0.411,1.30043,0.9171,1,0.97799,0.93737,0.36949,0.36759,1.16356,0.0018416,0.0018416,0.0018416
18,32.6086,0.46558,0.4079,1.28452,0.96548,0.9989,0.98306,0.93694,0.35883,0.36207,1.21141,0.0018317,0.0018317,0.0018317
19,34.4692,0.56713,0.43671,1.29718,0.93325,0.99861,0.98161,0.95029,0.34435,0.37479,1.20851,0.0018218,0.0018218,0.0018218
20,36.3305,0.51297,0.42551,1.32821,0.93202,0.97933,0.98016,0.93196,0.36438,0.42555,1.26508,0.0018119,0.0018119,0.0018119
