epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68971,0.4338,0.35763,1.33118,0.96433,1,0.97783,0.96153,0.28308,0.27996,1.21358,0.0002,0.0002,0.0002
2,4.73498,0.43078,0.35573,1.33439,0.96436,1,0.97166,0.95216,0.29636,0.28111,1.12025,0.000417921,0.000417921,0.000417921
3,6.72638,0.39867,0.33028,1.23824,0.9651,1,0.97141,0.96149,0.2846,0.27826,1.07587,0.000633664,0.000633664,0.000633664
4,8.73136,0.44044,0.34301,1.27355,0.96489,1,0.97645,0.95225,0.32172,0.29936,1.08979,0.000847229,0.000847229,0.000847229
5,10.7406,0.43295,0.33707,1.28004,0.98003,0.94643,0.95442,0.92524,0.31862,0.3672,1.41495,0.00105862,0.00105862,0.00105862
6,12.7953,0.45748,0.3634,1.31479,0.96463,1,0.97216,0.95694,0.28945,0.29422,1.37667,0.00126782,0.00126782,0.00126782
7,14.7769,0.44765,0.35821,1.30921,0.93326,0.99891,0.97018,0.91571,0.36687,0.34555,1.19126,0.00147486,0.00147486,0.00147486
8,16.7334,0.48538,0.35914,1.30822,0.94761,0.96429,0.96418,0.91218,0.381,0.37171,1.21423,0.00167971,0.00167971,0.00167971
9,18.7016,0.45698,0.36454,1.24337,0.96217,1,0.97741,0.95908,0.33051,0.32468,1.33195,0.00188238,0.00188238,0.00188238
10,20.6846,0.46998,0.37582,1.29429,0.95904,1,0.97795,0.95476,0.34242,0.32947,1.2845,0.0019109,0.0019109,0.0019109
11,22.6501,0.50782,0.40355,1.35811,0.9621,1,0.97733,0.95688,0.31995,0.32852,1.1252,0.001901,0.001901,0.001901
12,24.6921,0.45202,0.37694,1.28835,0.96548,0.99897,0.97741,0.936,0.39196,0.33847,1.3637,0.0018911,0.0018911,0.0018911
13,26.6724,0.47543,0.37674,1.32538,0.96544,0.99778,0.97603,0.94566,0.37453,0.33121,1.33631,0.0018812,0.0018812,0.0018812
14,28.6623,0.49526,0.39791,1.36577,0.96552,0.99994,0.97419,0.95273,0.33879,0.31892,1.22682,0.0018713,0.0018713,0.0018713
15,30.7328,0.48996,0.37263,1.34149,0.96273,1,0.9619,0.93487,0.34156,0.32789,1.14048,0.0018614,0.0018614,0.0018614
16,32.7283,0.48857,0.38219,1.31974,0.96358,1,0.96644,0.94638,0.31516,0.32956,1.10443,0.0018515,0.0018515,0.0018515
17,34.7858,0.47105,0.35262,1.27445,0.96552,1,0.97298,0.95452,0.329,0.32161,1.14557,0.0018416,0.0018416,0.0018416
18,36.7493,0.43323,0.34504,1.24265,0.96477,1,0.97141,0.96059,0.31074,0.31541,1.18117,0.0018317,0.0018317,0.0018317
19,38.7308,0.49835,0.36839,1.27318,0.95187,1,0.9672,0.95518,0.34004,0.30999,1.28204,0.0018218,0.0018218,0.0018218
20,40.7422,0.43927,0.34823,1.25613,0.96552,0.99994,0.97506,0.95701,0.31794,0.31141,1.15799,0.0018119,0.0018119,0.0018119
21,42.7506,0.45289,0.34724,1.28361,0.94909,0.9988,0.97281,0.96001,0.29988,0.31394,1.08976,0.001802,0.001802,0.001802
22,44.7664,0.43336,0.34179,1.32233,0.96549,0.99924,0.97378,0.96221,0.28788,0.29154,1.07831,0.0017921,0.0017921,0.0017921
23,46.8578,0.46834,0.3572,1.31345,0.96084,0.98214,0.9775,0.95021,0.32526,0.31294,1.0791,0.0017822,0.0017822,0.0017822
24,48.8557,0.44236,0.35615,1.272,0.96424,0.98214,0.97472,0.96443,0.29716,0.32727,1.0641,0.0017723,0.0017723,0.0017723
25,51.3131,0.44671,0.34627,1.27034,0.96548,0.99886,0.98103,0.96335,0.31137,0.31457,1.29121,0.0017624,0.0017624,0.0017624
26,53.7472,0.44281,0.3487,1.28174,0.9491,0.99895,0.98217,0.96949,0.34251,0.32497,1.32475,0.0017525,0.0017525,0.0017525
27,56.1733,0.49002,0.37886,1.36724,0.94911,0.99907,0.98404,0.975,0.30953,0.33075,1.38856,0.0017426,0.0017426,0.0017426
28,58.6148,0.41498,0.33039,1.26582,0.9485,1,0.9787,0.96038,0.31569,0.32076,1.37958,0.0017327,0.0017327,0.0017327
29,61.0011,0.42903,0.33813,1.26178,0.93224,1,0.97701,0.96203,0.32037,0.31075,1.30774,0.0017228,0.0017228,0.0017228
30,63.3833,0.45769,0.35796,1.25556,0.96497,1,0.97919,0.96064,0.30268,0.30252,1.2241,0.0017129,0.0017129,0.0017129
31,65.9656,0.4901,0.37786,1.33014,0.9649,1,0.97841,0.96503,0.31605,0.29267,1.23714,0.001703,0.001703,0.001703
32,68.3472,0.4938,0.38671,1.30741,0.96547,0.99857,0.97836,0.96831,0.31054,0.30735,1.18671,0.0016931,0.0016931,0.0016931
33,70.7372,0.43173,0.35263,1.22619,0.96362,0.98214,0.97573,0.94853,0.31042,0.30901,1.13835,0.0016832,0.0016832,0.0016832
34,73.0676,0.43633,0.34714,1.25592,0.96389,0.98214,0.97241,0.96282,0.30062,0.31103,1.15055,0.0016733,0.0016733,0.0016733
35,75.4199,0.43676,0.3669,1.29658,0.96393,0.98214,0.97291,0.96653,0.29445,0.31661,1.1326,0.0016634,0.0016634,0.0016634
36,77.7531,0.41103,0.33211,1.26503,0.96398,0.98214,0.97146,0.9638,0.28995,0.3217,1.12768,0.0016535,0.0016535,0.0016535
37,80.0785,0.40867,0.32822,1.20044,0.96491,0.98214,0.97286,0.96357,0.3017,0.32471,1.13934,0.0016436,0.0016436,0.0016436
38,82.4454,0.45368,0.35902,1.32791,0.96395,0.98214,0.97304,0.96271,0.29133,0.324,1.14456,0.0016337,0.0016337,0.0016337
39,84.7997,0.41447,0.3541,1.30201,0.96392,0.98214,0.97329,0.96159,0.29096,0.32683,1.13474,0.0016238,0.0016238,0.0016238
40,87.1973,0.41244,0.34338,1.22793,0.96392,0.98214,0.97412,0.97184,0.27384,0.31024,1.09724,0.0016139,0.0016139,0.0016139
41,89.7887,0.4123,0.33393,1.28727,0.96394,0.98214,0.97338,0.96546,0.27933,0.29349,1.09703,0.001604,0.001604,0.001604
42,92.384,0.43286,0.3467,1.29922,0.96394,0.98214,0.9777,0.97077,0.27627,0.28394,1.09924,0.0015941,0.0015941,0.0015941
43,94.7362,0.44727,0.35889,1.35931,0.96326,0.98214,0.977,0.96908,0.26121,0.29512,1.08124,0.0015842,0.0015842,0.0015842
