epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73417,0.39638,0.31941,1.20198,0.90801,0.99231,0.96916,0.95904,0.26276,0.36801,1.08902,0.00024,0.00024,0.00024
2,8.82864,0.39052,0.31763,1.17425,0.91286,0.97692,0.9649,0.95103,0.27401,0.40411,1.12726,0.000497525,0.000497525,0.000497525
3,12.8904,0.41826,0.33561,1.22069,0.91362,0.97629,0.9585,0.93963,0.29602,0.39672,1.05292,0.000752476,0.000752476,0.000752476
4,16.9749,0.42583,0.33041,1.18615,0.91383,0.98462,0.95543,0.94218,0.29812,0.38252,1.0232,0.00100485,0.00100485,0.00100485
5,21.0135,0.42298,0.33504,1.21771,0.90723,0.98462,0.94964,0.94001,0.29913,0.39615,0.99985,0.00125466,0.00125466,0.00125466
6,25.0723,0.41922,0.33373,1.20058,0.91393,0.98462,0.97742,0.96048,0.30785,0.41703,1.31835,0.00150189,0.00150189,0.00150189
7,29.1308,0.44607,0.34837,1.24728,0.91425,0.9842,0.97921,0.97055,0.29062,0.40416,0.99481,0.00174654,0.00174654,0.00174654
8,33.1954,0.44836,0.34865,1.21899,0.9071,0.97647,0.96085,0.93522,0.33356,0.45592,1.34488,0.0019307,0.0019307,0.0019307
9,37.2292,0.48068,0.36834,1.25981,0.90266,1,0.96318,0.91147,0.34447,0.40115,1.06681,0.0019208,0.0019208,0.0019208
10,41.3561,0.48025,0.36372,1.21098,0.91343,0.98462,0.95156,0.93011,0.34555,0.44433,1.04883,0.0019109,0.0019109,0.0019109
11,45.5645,0.4473,0.34605,1.22889,0.91256,0.96923,0.96341,0.94909,0.3153,0.42759,1.03585,0.001901,0.001901,0.001901
12,49.7837,0.44804,0.35054,1.19666,0.90133,0.98374,0.97662,0.9576,0.32249,0.41019,1.02112,0.0018911,0.0018911,0.0018911
13,53.9719,0.4102,0.33045,1.17624,0.91451,0.99231,0.96636,0.95473,0.28668,0.37146,0.99074,0.0018812,0.0018812,0.0018812
14,58.1645,0.42578,0.33707,1.19642,0.91527,1,0.97181,0.96431,0.28088,0.36337,0.99478,0.0018713,0.0018713,0.0018713
15,62.3945,0.44374,0.34792,1.20515,0.9004,0.98462,0.96021,0.93801,0.34,0.43087,1.21995,0.0018614,0.0018614,0.0018614
16,66.6068,0.41997,0.3363,1.22007,0.91256,0.96923,0.96216,0.94425,0.31712,0.49823,1.03679,0.0018515,0.0018515,0.0018515
17,70.8002,0.43739,0.33602,1.17774,0.90713,0.97675,0.96164,0.94605,0.32234,0.51098,1.02028,0.0018416,0.0018416,0.0018416
18,74.9945,0.46365,0.35667,1.28985,0.91272,0.97692,0.95799,0.92952,0.36382,0.49664,1.06462,0.0018317,0.0018317,0.0018317
19,79.1908,0.44597,0.34202,1.2461,0.91263,0.96923,0.93489,0.91136,0.34087,0.441,1.03992,0.0018218,0.0018218,0.0018218
20,83.3968,0.42363,0.33887,1.19914,0.91322,0.97139,0.94708,0.92208,0.35199,0.46712,1.18061,0.0018119,0.0018119,0.0018119
21,87.6074,0.44538,0.34057,1.18989,0.91534,0.99802,0.96606,0.95406,0.29608,0.37773,1.0429,0.001802,0.001802,0.001802
22,91.816,0.44829,0.34636,1.1864,0.91485,0.9918,0.96364,0.94705,0.30555,0.41284,0.99975,0.0017921,0.0017921,0.0017921
23,96.0234,0.43116,0.33606,1.20614,0.91394,0.98462,0.96283,0.9445,0.32115,0.41423,1.02476,0.0017822,0.0017822,0.0017822
24,100.275,0.42898,0.33731,1.19554,0.91026,0.98462,0.95003,0.93931,0.28506,0.41411,1.0034,0.0017723,0.0017723,0.0017723
25,104.482,0.42801,0.34239,1.21591,0.91201,0.98462,0.96133,0.95478,0.27709,0.37715,1.06215,0.0017624,0.0017624,0.0017624
26,108.721,0.40646,0.32411,1.18236,0.91218,0.98462,0.96455,0.94694,0.32415,0.39313,1.22843,0.0017525,0.0017525,0.0017525
27,112.951,0.43519,0.34127,1.20461,0.91408,0.98462,0.9461,0.92838,0.29615,0.42401,1.1104,0.0017426,0.0017426,0.0017426
28,117.204,0.42216,0.33637,1.1829,0.9142,0.98355,0.96195,0.94806,0.30746,0.38998,1.04604,0.0017327,0.0017327,0.0017327
29,121.422,0.42707,0.32901,1.23512,0.90254,1,0.96345,0.95082,0.31701,0.38061,1.01838,0.0017228,0.0017228,0.0017228
30,125.657,0.44653,0.3269,1.19605,0.91549,0.99996,0.9431,0.92213,0.29378,0.36751,1.03958,0.0017129,0.0017129,0.0017129
31,129.889,0.42903,0.32834,1.19608,0.91529,0.99737,0.94768,0.93136,0.29882,0.37218,1.07072,0.001703,0.001703,0.001703
32,134.111,0.42827,0.32628,1.21731,0.90839,0.99162,0.96402,0.94816,0.31973,0.39065,0.99834,0.0016931,0.0016931,0.0016931
33,138.318,0.41728,0.32913,1.15231,0.90766,0.98301,0.96016,0.9372,0.32741,0.43372,1.03533,0.0016832,0.0016832,0.0016832
34,142.54,0.41227,0.32259,1.18225,0.91298,0.96841,0.96227,0.94149,0.30943,0.40695,0.99908,0.0016733,0.0016733,0.0016733
35,146.771,0.41819,0.33331,1.20152,0.91541,0.9989,0.9687,0.95553,0.29867,0.36986,1.01031,0.0016634,0.0016634,0.0016634
36,151.017,0.42832,0.33273,1.20481,0.91078,0.98462,0.96795,0.94541,0.30635,0.38614,1.05605,0.0016535,0.0016535,0.0016535
37,155.234,0.43955,0.33622,1.2066,0.9021,1,0.96913,0.95075,0.32694,0.39269,1.24317,0.0016436,0.0016436,0.0016436
38,159.457,0.4281,0.32978,1.18328,0.91503,1,0.96177,0.93949,0.31501,0.37222,1.15991,0.0016337,0.0016337,0.0016337
39,163.682,0.43434,0.3331,1.21707,0.9151,1,0.9576,0.93955,0.32916,0.388,1.07379,0.0016238,0.0016238,0.0016238
40,167.93,0.43884,0.3313,1.17167,0.91494,1,0.95388,0.93341,0.32345,0.3718,1.02993,0.0016139,0.0016139,0.0016139
41,172.153,0.4024,0.32083,1.17275,0.90906,0.99966,0.95337,0.94126,0.30249,0.37947,1.07546,0.001604,0.001604,0.001604
42,176.391,0.4126,0.31932,1.17581,0.89549,1,0.96405,0.94835,0.29071,0.3844,1.12731,0.0015941,0.0015941,0.0015941
43,180.62,0.41839,0.33205,1.22371,0.91545,1,0.96144,0.95447,0.28113,0.36267,0.98569,0.0015842,0.0015842,0.0015842
44,184.873,0.40698,0.32493,1.17834,0.9073,0.98462,0.97311,0.95933,0.28815,0.38387,1.09011,0.0015743,0.0015743,0.0015743
45,189.092,0.41588,0.32754,1.17232,0.9104,0.97692,0.96767,0.95399,0.28398,0.40947,1.07384,0.0015644,0.0015644,0.0015644
46,193.326,0.38908,0.30709,1.15337,0.90736,0.98462,0.96447,0.9535,0.30799,0.39073,1.02767,0.0015545,0.0015545,0.0015545
47,197.558,0.39794,0.32365,1.17463,0.91506,1,0.94905,0.93429,0.28529,0.36927,1.00811,0.0015446,0.0015446,0.0015446
48,201.821,0.41501,0.33056,1.16694,0.91425,1,0.96383,0.95378,0.3005,0.38666,1.11918,0.0015347,0.0015347,0.0015347
49,206.064,0.38808,0.31896,1.14076,0.91401,1,0.96422,0.94864,0.29085,0.3595,0.9767,0.0015248,0.0015248,0.0015248
50,210.295,0.41819,0.32308,1.1477,0.91449,1,0.9635,0.94434,0.30523,0.37273,1.08857,0.0015149,0.0015149,0.0015149
51,214.533,0.3912,0.31005,1.17436,0.91539,1,0.9672,0.95425,0.27478,0.3666,1.07784,0.001505,0.001505,0.001505
52,218.784,0.39934,0.31303,1.20061,0.9154,0.99876,0.96983,0.95405,0.27105,0.36766,1.15829,0.0014951,0.0014951,0.0014951
53,223.008,0.40623,0.31555,1.17095,0.91489,1,0.95872,0.94709,0.27386,0.35979,1.183,0.0014852,0.0014852,0.0014852
54,227.236,0.39179,0.30974,1.15045,0.91538,0.99859,0.96634,0.95434,0.29809,0.35621,1.41409,0.0014753,0.0014753,0.0014753
55,231.479,0.39354,0.3107,1.18654,0.91123,1,0.96694,0.95097,0.29904,0.38879,1.23328,0.0014654,0.0014654,0.0014654
56,235.73,0.40937,0.32123,1.20661,0.90266,1,0.95167,0.94156,0.26698,0.38086,1.00121,0.0014555,0.0014555,0.0014555
57,239.969,0.40544,0.32142,1.20477,0.91475,0.99045,0.94794,0.93279,0.27397,0.3937,0.98675,0.0014456,0.0014456,0.0014456
58,244.19,0.38212,0.30793,1.16766,0.90903,0.99925,0.95801,0.93655,0.2879,0.39341,1.11037,0.0014357,0.0014357,0.0014357
59,248.423,0.38552,0.30255,1.15597,0.91408,0.98204,0.95735,0.94487,0.27421,0.39602,1.23153,0.0014258,0.0014258,0.0014258
60,252.664,0.41564,0.32419,1.22247,0.90801,0.99231,0.96508,0.96015,0.25716,0.37917,0.98198,0.0014159,0.0014159,0.0014159
61,256.887,0.38634,0.31088,1.1784,0.91393,0.98462,0.96723,0.9625,0.2602,0.38044,0.9791,0.001406,0.001406,0.001406
62,261.123,0.39144,0.30983,1.15895,0.91375,0.98462,0.95602,0.94175,0.30013,0.40948,1.01066,0.0013961,0.0013961,0.0013961
63,265.345,0.38608,0.30851,1.16074,0.91421,0.98367,0.95077,0.92694,0.29618,0.4134,1.03085,0.0013862,0.0013862,0.0013862
